Australia; 3.1
Islandia; 3.3
Libia; 3.6   
Canada; 4
Bolivia; 9.9
Republica do Congo; 13.5 
Noruega; 14.3 
Argentina; 15.9 
Paraguai;16.7 
Argelia; 16.7 
Nova Zelandia; 17.2
Finlandia; 18.1
Uruguai; 19.6 
Zabia; 21.8 
Suecia; 23.8 
Chile; 24.1 
Brasil; 24.9 
Estados Unidos; 35.2 
Zimbabue; 40.3  
Colombia; 43.5
Camaroes; 49.4  
Equador; 65 
Mexico; 65.3 
Irlanda; 68.1 
Costa do Marfim; 71.4 
Tunisia; 72.4 
Marrocos; 77
Grecia; 85 
Egito; 91.9 
Espanha; 92.5 
Eslovenia; 102.7
Austria; 103.7
Cuba; 107
Portugal; 113 
Franca; 117.6 
Chipre;126.1 
Dinamarca; 133.6 
Indonesia; 142.2 
Nigeria; 200.1 
Italia; 203.3  
Suica;  210 
Alemanha; 231.5 
Jamaica; 257.9
Reino Unido; 267.5 
Japao; 347.2  
Belgica; 373.2 
Haiti; 388.6 
India; 441
Coreia do Sul; 517.3 
San Marino; 529.7 
 
 

 





 
 
 
 
  

 
  

 








